pair_swaps_datetime,mev_vol,non_mev_vol
2021-03-22,519678.45453758346,10832.173431380646
2021-03-23,2684.8019619536644,-50299.064804420224
2021-03-24,-322044.34640863334,16721.61512490593
2021-03-25,324410.15280495555,-34615.23499177843
2021-03-26,674923.2826091878,64721.04540578671
2021-03-27,-33288.413300880304,466249.26685687026
2021-03-28,-150048.70742495553,100443.04550972547
2021-03-29,-284070.7216942979,232797.03690854675
2021-03-30,-279166.7724571076,-118019.00423870941
2021-03-31,-738141.5146621763,255747.03144923612
2021-04-01,-217453.34858358686,-110835.25279949019
2021-04-02,298373.8291338217,-144874.1159925692
2021-04-03,167336.64212250712,29670.240760742723
2021-04-04,57846.67687620496,211454.8300446216
2021-04-05,-240141.89246499818,-4458.340977703927
2021-04-06,60228.914596297676,66186.8980132397
2021-04-07,25883.21730849208,-29383.70340594784
2021-04-08,230518.2260271069,-26983.826619518914
2021-04-09,185480.00112360943,148136.12793107668
2021-04-10,138005.62548448477,97890.57713825864
2021-04-11,-165520.60379025654,36645.12011358475
2021-04-12,-26995.8592554962,89755.50933525313
2021-04-13,54490.643659598885,-81404.8535590208
2021-04-14,-146614.52915441198,290909.7831856103
2021-04-15,-213336.42952339424,51602.04142195953
2021-04-16,137014.982176868,-117445.3812809587
2021-04-17,-307056.323866026,-9840.475944414957
2021-04-18,365424.87123216403,128054.39852202364
2021-04-19,-359421.82299697655,30367.619771933663
2021-04-20,91771.80766617887,312933.4916066604
2021-04-21,639026.3841521592,53041.02794193759
2021-04-22,-127986.604992265,385916.7236337823
2021-04-23,707166.8269861109,323222.71728308586
2021-04-24,347821.79617641674,135609.09476683676
2021-04-25,-605809.4694810568,82815.2021959263
2021-04-26,-190344.37912770646,-583662.6750933726
2021-04-27,-58509.82941470061,321284.24522652
2021-04-28,-1190240.3394511584,614210.6741981411
2021-04-29,-349201.7320945331,20269.868338363183
2021-04-30,-1646341.3602733493,-38105.630234976765
2021-05-01,274450.78048065887,72000.46516451464
2021-05-02,285975.1319345783,-112069.04385453858
2021-05-03,-909022.3101297044,46022.57985470395
2021-05-04,-158509.24944898798,68991.79194093426
2021-05-05,223511.74833176925,-5089.4914502226875
2021-05-06,-107041.84647856427,156724.06760128247
2021-05-07,440005.55626930576,63597.00550321326
2021-05-08,-201321.9340191491,-64314.66757648465
2021-05-09,-927382.6784013556,201491.8169489251
2021-05-10,-722646.8795534043,7840.359193915451
2021-05-11,-1120495.9122599894,137522.27041430003
2021-05-12,131411.62816263115,634464.1520820884
2021-05-13,-1595238.459307308,-76015.88525869873
2021-05-14,497110.16445610893,38127.67760504974
2021-05-15,129499.65790852475,-18981.815293886924
2021-05-16,18862.83111534246,-168501.57468035322
2021-05-17,-37448.528160891685,-135049.59344183785
2021-05-18,251469.7462126129,-193687.7873690664
2021-05-19,-1979883.373831015,10967.074118215116
2021-05-20,899953.441178046,-105184.85006876334
2021-05-21,-979176.6231414448,-7261.690243328521
2021-05-22,-955913.2907191542,16911.72970309183
2021-05-23,-835903.3185356875,30935.76810994467
2021-05-24,783844.6728927104,14836.233570811493
2021-05-25,-127584.97295277177,13601.355386078947
2021-05-26,114225.70982010863,7360.557584397088
2021-05-27,104773.24101141978,2092.6506037845265
2021-05-28,-545673.1193159843,6248.233307758392
2021-05-29,-364033.3319762356,-26731.879535704298
2021-05-30,225086.27579575454,990.3327962723095
2021-05-31,258948.99313193338,-33285.68866795485
2021-06-01,-189030.89665959662,2008.450006871782
2021-06-02,88533.49077480468,28395.581137418245
2021-06-03,-92283.94826510921,11014.039229967197
2021-06-04,45956.61540581754,67883.74671339167
2021-06-05,187422.89601312694,25757.539894647107
2021-06-06,262472.34849256254,23511.810641012205
2021-06-07,95154.61951000447,-3185.7470436865397
2021-06-08,80587.55467669964,-101273.57567945482
2021-06-09,114413.75213285105,30015.560239075756
2021-06-10,-26264.221694800974,-36227.532289095965
2021-06-11,-550464.1893155489,26762.33080753174
2021-06-12,-375955.7408003556,149990.12810011962
2021-06-13,49745.45672362206,234026.14936080866
2021-06-14,-496609.09142919094,508705.67055977177
2021-06-15,483596.9236172714,-44345.52211431735
2021-06-16,-59988.410809539004,37783.76226292712
2021-06-17,136033.21061480578,-27662.037510501028
2021-06-18,221767.1947223136,-5887.106596671416
2021-06-19,758304.286965294,-130899.21193767537
2021-06-20,1218688.542954957,-158907.48770105283
2021-06-21,-950058.7797278124,64667.66192854093
2021-06-22,-911804.7834944094,53684.53447371379
2021-06-23,453119.73938484676,-111871.22232537229
2021-06-24,-61162.80688867457,383126.1745987318
2021-06-25,-38930.73165647092,-84088.77733860054
2021-06-26,721262.4417313755,-252823.75104067157
2021-06-27,553607.1929362386,-273312.9328402904
2021-06-28,-166405.4614267887,41288.32302935547
2021-06-29,762331.6733647292,-183609.374171696
2021-06-30,1428845.143450235,-513092.6399406919
2021-07-01,283808.9749008355,-111775.1567620478
2021-07-02,839953.4426790171,-401968.56757245923
2021-07-03,-89109.44171299203,-47977.99869854015
2021-07-04,447310.22379118396,-172800.25438539297
2021-07-05,-382064.3301116905,164663.7536030238
2021-07-06,-1953038.824633356,775679.3051654992
2021-07-07,918448.8074966682,-382176.9435567925
2021-07-08,-810887.7353654699,60403.79002332071
2021-07-09,463203.42898086255,-10740.899754997732
2021-07-10,677152.4021362391,-316616.7678999188
2021-07-11,-14210.131259415979,-15373.924770025045
2021-07-12,213917.63859333823,-71428.95761035565
2021-07-13,861781.926006959,-295890.3695265375
2021-07-14,369296.58468510467,-209121.65292999215
2021-07-15,30146.211884141187,-9735.307800861634
2021-07-16,940043.7195317218,-133312.7464914818
2021-07-17,127478.16237023898,182514.0182688034
2021-07-18,907309.7818383366,-181208.5119731787
2021-07-19,-3012663.2856963756,619885.5164700929
2021-07-20,2422557.7214432713,-278167.3407317265
2021-07-21,898621.3284067286,-281422.30450311024
2021-07-22,259483.05865233313,-68411.9958205372
2021-07-23,230937.46924060117,-259011.76885106086
2021-07-24,-1200222.0690183083,431920.22387854906
2021-07-25,-2637702.964547698,898702.5413344189
2021-07-26,1072789.2122729935,-119094.51344877799
2021-07-27,1462606.5445035712,-338116.23440410045
2021-07-28,-1127065.1757801536,292156.01696950843
2021-07-29,-1531902.607935295,945469.5668392594
2021-07-30,-1430576.4219026156,470212.25673033803
2021-07-31,-1805549.6858223088,458963.95396051265
2021-08-01,313339.683286231,-9733.805248223562
2021-08-02,376904.1247167441,-145118.04723743297
2021-08-03,838616.4748921549,-165853.4982549368
2021-08-04,-332640.2116667468,135067.27587613766
2021-08-05,661350.9733325773,-88546.727393616
2021-08-06,41415.08225187054,35959.397733648395
2021-08-07,-147714.89554959783,92854.7221666393
2021-08-08,-460642.1406752909,146353.72994787706
2021-08-09,-1030490.8227983047,407488.30848459364
2021-08-10,-1179134.076901307,390064.4235982424
2021-08-11,-1297479.1697117768,489457.7572683056
2021-08-12,144224.0310032648,86748.43732529065
